L: x=0.499 y=0.509 | R: x=0.417 y=0.505 | RAW: x=0.458 y=0.507 | NORM: x=0.360 y=0.523
L: x=0.529 y=0.655 | R: x=0.408 y=0.624 | RAW: x=0.468 y=0.640 | NORM: x=0.395 y=0.966
L: x=0.520 y=0.619 | R: x=0.408 y=0.595 | RAW: x=0.464 y=0.607 | NORM: x=0.381 y=0.857
L: x=0.517 y=0.619 | R: x=0.410 y=0.595 | RAW: x=0.464 y=0.607 | NORM: x=0.379 y=0.856
L: x=0.554 y=0.597 | R: x=0.452 y=0.574 | RAW: x=0.503 y=0.585 | NORM: x=0.509 y=0.785
L: x=0.520 y=0.559 | R: x=0.423 y=0.550 | RAW: x=0.471 y=0.555 | NORM: x=0.405 y=0.683
L: x=0.515 y=0.574 | R: x=0.413 y=0.555 | RAW: x=0.464 y=0.565 | NORM: x=0.381 y=0.715
L: x=0.526 y=0.595 | R: x=0.421 y=0.573 | RAW: x=0.474 y=0.584 | NORM: x=0.412 y=0.781
L: x=0.523 y=0.646 | R: x=0.410 y=0.621 | RAW: x=0.467 y=0.634 | NORM: x=0.389 y=0.945
L: x=0.471 y=0.585 | R: x=0.402 y=0.561 | RAW: x=0.436 y=0.573 | NORM: x=0.288 y=0.744
L: x=0.513 y=0.532 | R: x=0.461 y=0.513 | RAW: x=0.487 y=0.523 | NORM: x=0.457 y=0.576
L: x=0.496 y=2.329 | R: x=0.517 y=1.589 | RAW: x=0.506 y=1.959 | NORM: x=0.522 y=1.000
L: x=0.531 y=0.619 | R: x=0.409 y=0.607 | RAW: x=0.470 y=0.613 | NORM: x=0.400 y=0.876
L: x=0.537 y=0.618 | R: x=0.422 y=0.584 | RAW: x=0.480 y=0.601 | NORM: x=0.432 y=0.836
L: x=0.523 y=0.540 | R: x=0.455 y=0.527 | RAW: x=0.489 y=0.533 | NORM: x=0.464 y=0.611
L: x=0.575 y=0.596 | R: x=0.471 y=0.575 | RAW: x=0.523 y=0.585 | NORM: x=0.577 y=0.785
L: x=0.538 y=0.686 | R: x=0.483 y=0.667 | RAW: x=0.511 y=0.677 | NORM: x=0.536 y=1.000
L: x=0.562 y=0.600 | R: x=0.449 y=0.581 | RAW: x=0.506 y=0.591 | NORM: x=0.519 y=0.802
L: x=0.556 y=0.611 | R: x=0.438 y=0.598 | RAW: x=0.497 y=0.604 | NORM: x=0.489 y=0.847
L: x=0.558 y=0.630 | R: x=0.436 y=0.607 | RAW: x=0.497 y=0.618 | NORM: x=0.489 y=0.894
L: x=0.551 y=0.634 | R: x=0.418 y=0.628 | RAW: x=0.485 y=0.631 | NORM: x=0.449 y=0.936
L: x=0.540 y=0.667 | R: x=0.394 y=0.679 | RAW: x=0.467 y=0.673 | NORM: x=0.390 y=1.000
L: x=0.531 y=0.665 | R: x=0.391 y=0.663 | RAW: x=0.461 y=0.664 | NORM: x=0.369 y=1.000
